,State,year,quarter,January 1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
121,West Virginia,2020,Apr-Jun,7500,7500,570,8,1600,1500,20
122,Wisconsin,2020,Apr-Jun,27000,55000,1700,3,14000,4600,8
123,Wyoming,2020,Apr-Jun,17500,30000,2000,7,4400,2100,7
125,Other States 5/,2020,Apr-Jun,6500,9840,260,3,1400,1500,15
127,United States,2020,Apr-Jun,2972000,(X),300990,10,536170,626870,21
140,State,2020,Jul-Sep,July 1,,,,,,
145,Alabama,2020,Jul-Sep,9000,19000,3700,19,1800,990,5
146,Arizona,2020,Jul-Sep,28000,30000,8000,27,2600,1800,6
147,Arkansas,2020,Jul-Sep,19000,22000,1700,8,1500,390,2
148,California,2020,Jul-Sep,640000,700000,69000,10,61000,108000,15
149,Colorado,2020,Jul-Sep,29000,29000,7000,24,3800,5500,19
150,Connecticut,2020,Jul-Sep,4700,4700,300,6,130,150,3
151,Florida,2020,Jul-Sep,220000,230000,29000,13,36000,31000,13
152,Georgia,2020,Jul-Sep,150000,163000,23000,14,22000,35000,21
153,Hawaii,2020,Jul-Sep,18500,18500,500,3,4000,3400,18
154,Idaho,2020,Jul-Sep,70000,85000,11000,13,18500,8500,10
156,Illinois,2020,Jul-Sep,14000,14000,1400,10,770,690,5
157,Indiana,2020,Jul-Sep,15000,15000,1600,11,1200,2700,18
158,Iowa,2020,Jul-Sep,34000,38000,1800,5,1100,2900,8
159,Kansas,2020,Jul-Sep,7000,7000,910,13,600,730,10
160,Kentucky,2020,Jul-Sep,11500,12000,1400,12,800,510,4
161,Louisiana,2020,Jul-Sep,48000,48000,2600,5,1200,3100,6
162,Maine,2020,Jul-Sep,9500,10000,1500,15,700,820,8
163,Maryland,2020,Jul-Sep,7500,7500,690,9,1200,220,3
164,Massachusetts,2020,Jul-Sep,11000,11000,330,3,840,810,7
165,Michigan,2020,Jul-Sep,96000,106000,34000,32,37000,11000,10
167,Minnesota,2020,Jul-Sep,114000,119000,10500,9,1800,3700,3
168,Mississippi,2020,Jul-Sep,26000,29000,1600,6,2500,130,(Z)
169,Missouri,2020,Jul-Sep,8000,8000,730,9,290,820,10
170,Montana,2020,Jul-Sep,138000,139000,8500,6,6500,28000,20
171,Nebraska,2020,Jul-Sep,47000,48000,4300,9,3000,3100,6
172,New Jersey,2020,Jul-Sep,17500,18500,2300,12,1500,1800,10
173,New Mexico,2020,Jul-Sep,5500,5500,1600,29,3300,760,14
174,New York,2020,Jul-Sep,61000,61000,3600,6,5500,1600,3
175,North Carolina,2020,Jul-Sep,26000,27000,4600,17,950,5500,20
