FinalColonyCount,LogFinalToStart
12555.0,-0.07257069283483537
57000.0,-0.05129329438755058
46500.0,-0.07257069283483537
2755.0,-0.05129329438755058
14720.0,-0.08338160893905101
14210.0,-0.020202707317519466
4416.0,-0.08338160893905101
8520.0,-0.342490308946776
5250.0,-0.2876820724517809
79800.0,-0.05129329438755058
6230.0,-0.11653381625595151
2112.0,-0.040821994520255166
2090.0,-0.05129329438755058
41360.0,-0.06187540371808753
5600.0,-0.2231435513142097
21160.0,-0.08338160893905101
11250.0,-0.10536051565782628
80000.0,-0.2231435513142097
265350.0,-0.13926206733350766
15130.0,-0.11653381625595151
13720.0,-0.020202707317519466
14570.0,-0.06187540371808753
23280.0,-0.030459207484708574
5060.0,-0.08338160893905101
20370.0,-0.030459207484708574
117920.0,-0.12783337150988489
270000.0,-0.10536051565782628
64680.0,-0.020202707317519466
59840.0,-0.12783337150988489
48500.0,-0.030459207484708574
7360.0,-0.08338160893905101
11040.0,-0.040821994520255166
22320.0,-0.07257069283483537
39600.0,-0.10536051565782628
10560.0,-0.12783337150988489
18480.0,-0.12783337150988489
134850.0,-0.07257069283483537
3864.0,-0.08338160893905101
5320.0,-0.2744368457017603
7565.0,-0.11653381625595151
5980.0,-0.08338160893905101
3827.0,-0.11653381625595151
41360.0,-0.06187540371808753
91140.0,-0.07257069283483537
6375.0,-0.16251892949777494
30450.0,-0.13926206733350766
26600.0,-0.05129329438755058
10010.0,-0.09431067947124129
107880.0,-0.07257069283483537
6650.0,-0.05129329438755058
11880.0,-0.12783337150988489
16830.0,-0.01005033585350145
9625.0,-0.2613647641344075
1504.0,-0.06187540371808753
5445.0,-0.01005033585350145
404950.0,-0.11653381625595151
4420.0,-0.6539264674066639
6800.0,-0.16251892949777494
6440.0,-0.08338160893905101
85440.0,-0.040821994520255166
6510.0,-0.07257069283483537
3360.0,-0.040821994520255166
5400.0,-0.10536051565782628
6900.0,-0.08338160893905101
8010.0,-0.11653381625595151
6110.0,-0.06187540371808753
4136.0,-0.12783337150988489
16099.999999999998,-0.35667494393873245
9600.0,-0.040821994520255166
10340.0,-0.06187540371808753
44500.0,-0.11653381625595151
52460.0,-0.15082288973458366
76950.0,-0.05129329438755058
4015.0,-0.31471074483970024
64500.0,-0.15082288973458366
17940.0,-0.2484613592984996
12760.0,-0.12783337150988489
14800.0,-0.3011050927839216
13340.0,-0.08338160893905101
17480.0,-0.08338160893905101
11520.0,-0.040821994520255166
70520.0,-0.15082288973458366
19320.0,-0.08338160893905101
51330.0,-0.13926206733350766
17640.0,-0.1743533871447778
44620.0,-0.030459207484708574
14700.0,-0.020202707317519466
10120.0,-0.12783337150988489
6790.0,-0.030459207484708574
21870.0,-0.21072103131565253
3255.0,-0.07257069283483537
36660.0,-0.06187540371808753
7140.0,-0.1743533871447778
27390.0,-0.18632957819149348
16770.0,-0.15082288973458366
6525.0,-0.13926206733350766
9790.0,-0.11653381625595151
47500.0,-0.05129329438755058
4900.0,-0.35667494393873245
317400.0,-0.08338160893905101
12285.0,-0.09431067947124129
11880.0,-0.3285040669720361
2850.0,-0.05129329438755058
6080.0,-0.2744368457017603
3663.0,-0.01005033585350145
56050.0,-0.05129329438755058
211500.0,-0.10536051565782628
51150.0,-0.07257069283483537
5940.0,-0.01005033585350145
6930.0,-0.01005033585350145
28050.0,-0.16251892949777494
6240.0,-0.2484613592984996
4420.0,-0.6539264674066639
45590.0,-0.030459207484708574
16100.0,-0.08338160893905101
6240.0,-0.040821994520255166
76440.0,-0.020202707317519466
2400.0,-0.040821994520255166
5720.0,-0.12783337150988489
3042.0,-0.2484613592984996
7280.0,-0.09431067947124129
71200.0,-0.11653381625595151
78320.0,-0.12783337150988489
24700.0,-0.05129329438755058
7020.0,-0.2484613592984996
64859.99999999999,-0.06187540371808753
6370.0,-0.09431067947124129
9200.0,-0.08338160893905101
6225.0,-0.18632957819149348
5225.0,-0.05129329438755058
8700.0,-0.13926206733350766
6885.0,-0.21072103131565253
77760.0,-0.040821994520255166
57340.0,-0.06187540371808753
10010.0,-0.2613647641344075
576000.0,-0.10536051565782628
14879.999999999998,-0.0725706928348355
32760.0,-0.09431067947124129
5395.0,-0.18632957819149348
48230.0,-0.09431067947124129
6090.0,-0.13926206733350766
2068.0,-0.06187540371808753
10250.0,-0.19845093872383832
6900.0,-0.08338160893905101
11160.0,-0.3285040669720361
10320.0,-0.15082288973458366
55200.0,-0.08338160893905101
12825.0,-0.05129329438755058
9025.0,-0.05129329438755058
11900.0,-0.16251892949777494
47040.0,-0.020202707317519466
8800.0,-0.12783337150988489
10200.0,-0.16251892949777494
3600.0,-0.7339691750802004
19200.0,-0.040821994520255166
5395.0,-0.18632957819149348
8645.0,-0.09431067947124129
6045.0,-0.07257069283483537
13949.999999999998,-0.07257069283483562
3900.0,-0.2484613592984996
65279.99999999999,-0.3856624808119848
9790.0,-0.11653381625595151
3744.0,-0.040821994520255166
7565.0,-0.11653381625595151
37840.0,-0.15082288973458366
41800.0,-0.05129329438755058
2914.0,-0.06187540371808753
22880.0,-0.12783337150988489
109880.00000000001,-0.19845093872383818
16920.0,-0.06187540371808753
6525.0,-0.13926206733350766
9660.0,-0.37106368139083207
1060200.0,-0.07257069283483537
2812.0,-0.3011050927839216
5940.0,-0.01005033585350145
2812.0,-0.3011050927839216
4032.0,-0.040821994520255166
81880.0,-0.08338160893905101
3905.0,-0.342490308946776
274500.0,-0.10536051565782628
4320.0,-0.040821994520255166
39770.0,-0.030459207484708574
38950.0,-0.05129329438755058
110400.0,-0.040821994520255166
13475.0,-0.2613647641344075
11375.0,-0.09431067947124129
3724.0,-0.020202707317519466
28210.0,-0.09431067947124129
25110.0,-0.21072103131565253
19110.0,-0.09431067947124129
13365.0,-0.21072103131565253
5359.999999999999,-0.4004775665971254
6240.0,-0.2484613592984996
987000.0,-0.06187540371808753
4550.0,-0.09431067947124129
9000.0,-0.10536051565782628
15840.0,-0.12783337150988489
6600.0,-0.12783337150988489
2640.0,-0.12783337150988489
19110.0,-0.09431067947124129
189200.0,-0.15082288973458366
6599.999999999999,-0.41551544396166595
306000.0,-0.10536051565782628
6885.0,-0.21072103131565253
51410.0,-0.030459207484708574
73080.0,-0.13926206733350766
2280.0,-0.05129329438755058
48000.0,-0.040821994520255166
2090.0,-0.05129329438755058
3402.0,-0.21072103131565253
5520.0,-0.08338160893905101
13600.0,-0.16251892949777494
10560.0,-0.040821994520255166
22360.0,-0.15082288973458366
47940.0,-0.06187540371808753
14879.999999999998,-0.0725706928348355
20440.0,-0.31471074483970024
108640.0,-0.030459207484708574
5110.0,-0.31471074483970024
7480.0,-0.12783337150988489
24640.0,-0.12783337150988489
31450.0,-0.16251892949777494
26680.0,-0.08338160893905101
17020.0,-0.08338160893905101
7310.0,-0.15082288973458366
26680.0,-0.08338160893905101
71100.0,-0.10536051565782628
1028300.0,-0.09431067947124129
20640.0,-0.15082288973458366
22800.0,-0.05129329438755058
56430.0,-0.01005033585350145
20020.0,-0.09431067947124129
7050.0,-0.06187540371808753
106720.0,-0.08338160893905101
3367.0,-0.09431067947124129
8930.0,-0.06187540371808753
11280.0,-0.06187540371808753
25200.0,-0.1743533871447778
118680.0,-0.08338160893905101
2430.0,-0.10536051565782628
5115.0,-0.07257069283483537
